Cocaine,Number of deaths,,,,Unsmoothed,,,,,,,Smoothed,,,,,,,
Year,Mentioned,Mentioned without other drugs,Mentioned with alcohol,Last year prevalence,User Population,Users per death (mentioned),Users per death (alone or with alcohol),Deaths/1000 users (mentioned),Deaths/1000 users (alone or with alcohol),Risk of death (mentioned),Risk of death (alone or with alcohol),Smoothed Last year prevelence,User Population,Users per death (mentioned),Users per death (alone or with alcohol),Deaths/1000 users (mentioned),Deaths/1000 users (alone or with alcohol),Risk of death (mentioned),Risk of death (alone or with alcohol)
1996,13,6,4,0.6,180884.4,"13,914.18","18,088.44",0.07,0.06,0.007%,0.006%,0.95,286400.3,"22,030.79","28,640.03",0.05,0.03,0.005%,0.003%
1997,27,12,5,0.95,287470.95,"10,647.07","16,910.06",0.09,0.06,0.009%,0.006%,1.13,340426.125,"12,608.38","20,025.07",0.08,0.05,0.008%,0.005%
1998,65,27,12,1.3,394681.3,"6,072.02","10,120.03",0.16,0.10,0.016%,0.010%,1.30,394681.3,"6,072.02","10,120.03",0.16,0.10,0.016%,0.010%
1999,88,29,15,1.65,503594.85,"5,722.67","11,445.34",0.17,0.09,0.017%,0.009%,1.56,476126.04,"5,410.52","10,821.05",0.18,0.09,0.018%,0.009%
2000,83,40,16,2,612338,"7,377.57","10,934.61",0.14,0.09,0.014%,0.009%,1.79,548042.51,"6,602.92","9,786.47",0.15,0.10,0.015%,0.010%
2001,97,40,17,1.9,588507.9,"6,067.09","10,324.70",0.16,0.10,0.016%,0.010%,2.01,622579.41,"6,418.34","10,922.45",0.16,0.09,0.016%,0.009%
2002,128,41,38,2.1,655370.1,"5,120.08","8,295.82",0.20,0.12,0.020%,0.012%,2.10,655370.1,"5,120.08","8,295.82",0.20,0.12,0.020%,0.012%
2003,129,44,30,2.4,753360,"5,840.00","10,180.54",0.17,0.10,0.017%,0.010%,2.20,690580,"5,353.33","9,332.16",0.19,0.11,0.019%,0.011%
2004,154,49,38,2.1,663379.5,"4,307.66","7,625.05",0.23,0.13,0.023%,0.013%,2.36,745512.2,"4,840.99","8,569.11",0.21,0.12,0.021%,0.012%
2005,176,54,37,2.5,797257.5,"4,529.87","8,761.07",0.22,0.11,0.022%,0.011%,2.42,771745.26,"4,384.92","8,480.72",0.23,0.12,0.023%,0.012%
2006,190,71,50,2.7,867399.3,"4,565.26","7,168.59",0.22,0.14,0.022%,0.014%,2.54,815997.86,"4,294.73","6,743.78",0.23,0.15,0.023%,0.015%
2007,196,84,52,2.4,773822.4,"3,948.07","5,689.87",0.25,0.18,0.025%,0.018%,2.62,844756.12,"4,309.98","6,211.44",0.23,0.16,0.023%,0.016%
2008,235,86,75,3,971670,"4,134.77","6,035.22",0.24,0.17,0.024%,0.017%,2.54,822680.6,"3,500.77","5,109.82",0.29,0.20,0.029%,0.020%
2009,202,73,63,2.5,812827.5,"4,023.90","5,976.67",0.25,0.17,0.025%,0.017%,2.44,793319.64,"3,927.32","5,833.23",0.25,0.17,0.025%,0.017%
2010,144,59,50,2.1,686723.1,"4,768.91","6,300.21",0.21,0.16,0.021%,0.016%,2.34,765205.74,"5,313.93","7,020.24",0.19,0.14,0.019%,0.014%
2011,112,34,33,2.2,723725.2,"6,461.83","10,801.87",0.15,0.09,0.015%,0.009%,2.22,730304.52,"6,520.58","10,900.07",0.15,0.09,0.015%,0.009%
2012,139,39,57,1.9,627575.282,"4,514.93","6,537.24",0.22,0.15,0.022%,0.015%,2.18,720060.0604,"5,180.29","7,500.63",0.19,0.13,0.019%,0.013%
2013,169,46,61,2.4,795556.2,"4,707.43","7,435.10",0.21,0.13,0.021%,0.013%,2.22,735889.485,"4,354.38","6,877.47",0.23,0.15,0.023%,0.015%
2014,247,74,77,2.3,765815.774,"3,100.47","5,071.63",0.32,0.20,0.032%,0.020%,2.23,740843.5205,"2,999.37","4,906.25",0.33,0.20,0.033%,0.020%
2015,320,41,97,2.3,770477.506,"2,407.74","5,583.17",0.42,0.18,0.042%,0.018%,2.33,781643.8467,"2,442.64","5,664.09",0.41,0.18,0.041%,0.018%
