Ecstasy,Number of deaths Ecstasy,,,Number of deaths PMA,,,Number of deaths Ecstasy or PMA/PMAA,,,,Ratios,,,,Unsmoothed - Ecstasy Only,,,,,,,Smoothed - Ecstasy Only,,,,,,,,Unsmoothed - Ecstasy + PMA,,,,,,,Smoothed - Ecstasy + PMA,,,,,,,
Year,Mentioned,Mentioned without other drugs,Mentioned with alcohol,Mentioned,Mentioned without other drugs,Mentioned with alcohol,Mentioned,Mentioned without other drugs,Mentioned with alcohol,Mentioned with other drugs but without alcohol,Mentioned without other drugs,Mentioned with alcohol,With other drugs without alcohol,Last year prevalence,User Population,Users per death (mentioned),Users per death (alone or with alcohol),Deaths/1000 users (mentioned),Deaths/1000 users (alone or with alcohol),Risk of death (mentioned),Risk of death (alone or with alcohol),Smoothed Last year prevelence,User Population,Users per death (mentioned),Users per death (alone or with alcohol),Deaths/1000 users (mentioned),Deaths/1000 users (alone or with alcohol),Risk of death (mentioned),Risk of death (alone or with alcohol),User Population,Users per death (mentioned),Users per death (alone or with alcohol),Deaths/1000 users (mentioned),Deaths/1000 users (alone or with alcohol),Risk of death (mentioned),Risk of death (alone or with alcohol),Smoothed Last year prevelence,User Population,Users per death (mentioned),Users per death (alone or with alcohol),Deaths/1000 users (mentioned),Deaths/1000 users (alone or with alcohol),Risk of death (mentioned),Risk of death (alone or with alcohol)
1996,16,8,4,0,0,0,16,8,4,4,0.5,0.25,0.25,1.7,512505.8,"32,031.61","42,708.82",0.03,0.02,0.003%,0.002%,1.60,482358.4,"30,147.40","40,196.53",0.03,0.02,0.003%,0.002%,512505.8,"32,031.61","42,708.82",0.03,0.02,0.003%,0.002%,1.60,482358.4,"30,147.40","40,196.53",0.03,0.02,0.003%,0.002%
1997,15,8,1,0,0,0,15,8,1,6,0.5333333333,0.06666666667,0.4,1.6,484161.6,"32,277.44","53,795.73",0.03,0.02,0.003%,0.002%,1.61,487944.1125,"32,529.61","54,216.01",0.03,0.02,0.003%,0.002%,484161.6,"32,277.44","53,795.73",0.03,0.02,0.003%,0.002%,1.61,487944.1125,"32,529.61","54,216.01",0.03,0.02,0.003%,0.002%
1998,17,10,3,0,0,0,17,10,3,4,0.5882352941,0.1764705882,0.2352941176,1.5,455401.5,"26,788.32","35,030.88",0.04,0.03,0.004%,0.003%,1.65,500941.65,"29,467.16","38,533.97",0.03,0.03,0.003%,0.003%,455401.5,"26,788.32","35,030.88",0.04,0.03,0.004%,0.003%,1.65,500941.65,"29,467.16","38,533.97",0.03,0.03,0.003%,0.003%
1999,21,6,2,0,0,0,21,6,2,13,0.2857142857,0.09523809524,0.619047619,1.65,503594.85,"23,980.71","62,949.36",0.04,0.02,0.004%,0.002%,1.73,528011.57,"25,143.41","66,001.45",0.04,0.02,0.004%,0.002%,503594.85,"23,980.71","62,949.36",0.04,0.02,0.004%,0.002%,1.73,528011.57,"25,143.41","66,001.45",0.04,0.02,0.004%,0.002%
2000,28,10,5,0,0,0,28,10,5,13,0.3571428571,0.1785714286,0.4642857143,1.8,551104.2,"19,682.29","36,740.28",0.05,0.03,0.005%,0.003%,1.79,548042.51,"19,572.95","36,536.17",0.05,0.03,0.005%,0.003%,551104.2,"19,682.29","36,740.28",0.05,0.03,0.005%,0.003%,1.79,548042.51,"19,572.95","36,536.17",0.05,0.03,0.005%,0.003%
2001,55,26,13,1,0,0,56,26,13,17,0.4642857143,0.2321428571,0.3035714286,2.1,650456.1,"11,826.47","16,678.36",0.08,0.06,0.008%,0.006%,1.87,579215.67,"10,531.19","14,851.68",0.09,0.07,0.009%,0.007%,650456.1,"11,615.29","16,678.36",0.09,0.06,0.009%,0.006%,1.87,579215.67,"10,343.14","14,851.68",0.10,0.07,0.010%,0.007%
2002,56,24,7,0,0,0,56,24,7,25,0.4285714286,0.125,0.4464285714,1.9,592953.9,"10,588.46","19,127.55",0.09,0.05,0.009%,0.005%,1.90,592953.9,"10,588.46","19,127.55",0.09,0.05,0.009%,0.005%,592953.9,"10,588.46","19,127.55",0.09,0.05,0.009%,0.005%,1.90,592953.9,"10,588.46","19,127.55",0.09,0.05,0.009%,0.005%
2003,50,29,12,0,0,0,50,29,12,9,0.58,0.24,0.18,1.9,596410,"11,928.20","14,546.59",0.08,0.07,0.008%,0.007%,1.86,583854,"11,677.08","14,240.34",0.09,0.07,0.009%,0.007%,596410,"11,928.20","14,546.59",0.08,0.07,0.008%,0.007%,1.86,583854,"11,677.08","14,240.34",0.09,0.07,0.009%,0.007%
2004,43,24,13,0,0,0,43,24,13,6,0.5581395349,0.3023255814,0.1395348837,1.8,568611,"13,223.51","15,367.86",0.08,0.07,0.008%,0.007%,1.80,568611,"13,223.51","15,367.86",0.08,0.07,0.008%,0.007%,568611,"13,223.51","15,367.86",0.08,0.07,0.008%,0.007%,1.80,568611,"13,223.51","15,367.86",0.08,0.07,0.008%,0.007%
2005,58,33,14,0,0,0,58,33,14,11,0.5689655172,0.2413793103,0.1896551724,1.6,510244.8,"8,797.32","10,856.27",0.11,0.09,0.011%,0.009%,1.72,548513.16,"9,457.12","11,670.49",0.11,0.09,0.011%,0.009%,510244.8,"8,797.32","10,856.27",0.11,0.09,0.011%,0.009%,1.72,548513.16,"9,457.12","11,670.49",0.11,0.09,0.011%,0.009%
